	SRR19509095	SRR19509096	SRR19509097	SRR19509098	SRR19509099	SRR19509100	SRR19509101	SRR19509102	SRR19509103	SRR19509104	SRR19509105	SRR19509106	SRR19509107	SRR19509108	SRR19509109	SRR19509110	SRR19509111	SRR19509112	SRR19509113	SRR19509114	SRR19509115	SRR19509116	SRR19509117	SRR19509118	SRR19509119	SRR19509120	SRR19509121	SRR19509122	SRR19509123	SRR19509124	SRR19509125	SRR19509126	SRR19509127	SRR19509128	SRR19509129	SRR19509130	SRR19509131	SRR19509132	SRR19509133	SRR19509134	SRR19509135	SRR19509136	SRR19509137	SRR19509138	SRR19509139	SRR19509140	SRR19509141	SRR19509142	SRR19509143	SRR19509144	SRR19509145	SRR19509146	SRR19509147	SRR19509148	SRR19509149	SRR19509150	SRR19509151	SRR19509152	SRR19509153	SRR19509154
ASV_0066	11	2	10	2	0	0	0	0	0	0	0	4	11	0	0	0	0	6	10	10	0	0	0	0	0	512	0	0	0	0	0	0	0	0	7	0	1361	0	5	0	0	0	0	953	39	659	880	421	0	0	0	9	337	363	158	239	312	444	182	505
ASV_0067	0	0	0	0	128	14	64	18	0	177	178	145	165	182	0	37	0	0	52	28	587	371	1733	704	1829	0	198	36	108	39	113	268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	31	0	0	0
ASV_0068	0	0	0	0	120	22	81	23	21	155	125	126	164	172	0	21	36	20	49	29	633	507	1534	677	1742	0	162	34	108	33	130	301	43	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	32	49	0	0	0
ASV_0069	0	0	8	0	0	0	0	0	0	0	214	39	54	28	7	92	3050	371	821	324	19	22	0	42	15	0	158	132	162	172	177	0	108	17	39	9	0	100	47	11	15	9	0	0	338	11	18	0	0	20	57	12	0	0	0	19	0	5	10	12
ASV_0070	14	42	9	15	3	0	0	0	0	27	0	54	4	0	8	2	0	0	0	0	0	8	0	0	0	105	0	0	0	0	0	0	0	4	0	0	328	29	38	3	0	0	0	0	127	0	20	116	0	4	0	0	0	242	1116	445	347	3473	139	0
ASV_0071	19	80	19	51	10	13	15	14	7	7	6	8	7	8	58	30	32	46	45	23	19	7	9	6	3	29	70	224	109	194	68	25	101	127	83	44	41	65	40	59	106	0	28	12	179	22	123	26	91	2255	130	93	404	53	275	81	44	713	34	16
ASV_0072	56	23	0	64	1244	184	114	62	73	40	334	29	0	58	0	31	44	0	13	0	36	26	0	0	122	137	280	30	31	0	217	275	41	35	43	318	741	0	0	0	0	0	0	0	0	0	0	306	0	0	0	0	0	67	46	57	83	75	508	601
ASV_0073	103	89	199	146	32	37	154	90	43	68	76	185	175	1268	83	17	42	27	46	28	68	93	52	59	103	373	66	34	34	35	140	27	42	40	56	129	593	0	15	0	0	0	0	86	0	190	102	192	0	0	0	0	0	52	83	52	41	57	358	51
ASV_0074	35	17	58	38	136	84	154	96	184	69	283	156	114	78	159	11	33	43	28	11	28	12	29	34	30	25	17	21	31	20	19	20	24	26	51	10	38	283	154	138	500	102	60	16	66	156	153	24	432	163	190	65	941	89	36	119	45	63	64	32
ASV_0075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	424	0	0	0	0	0	0	0	0	0	0	286	0	0	0	0	0	0	138	57	150	414	227	0	0	0	156	189	447	229	250	181	261	194	2313
